Arabic,English,Hebrew,Russian,French
الإجابة,the answer,התשובה,ответ,la réponse
سر,Secret,סוֹד,Секрет,Secret
القلق,Anxiety,חֲרָדָה,Беспокойство,Anxiété
بالطريقة,In a way,בדרך,В некотором смысле,Dans un sens
وفاة,death,מוות,смерть,décès
دخول,entrance,כְּנִיסָה,вход,entrée
دورك,Your turn,תורך,Твой ход,À ton tour
عفوا,Sorry,מצטער,Извини,Désolé
أكان,Was it,האם זה היה,Это было,Était-ce
اترك,Leave,לעזוב,Оставлять,Partir
نار,fire,אש,огонь,feu
أراكِ,See you,נתראה,Увидимся,À bientôt
يترك,Leave,לעזוב,Оставлять,quitter
أيا,Either,אוֹ,Или,Soit
تحقق,verification,אימות,проверка,vérification
مجرّد,merely,רק,просто,simplement
اجتماع,meeting,פְּגִישָׁה,встреча,réunion
اذهبوا,Go,ללכת,Идти,Aller
أنفسهم,themselves,עצמם,сами себя,eux-mêmes
إليكم,To you,לך,Тебе,Pour vous
يـا,Oh,אה,Ой,Oh
تبكي,Cry,בוכה,Плакать,Pleurer
كتابة,writing,כתיבה,письмо,en écrivant
طفلاً,Child,יֶלֶד,Ребенок,Enfant
قومي,Nationalist,לְאוּמִי,Националистический,Nationaliste
الجمال,beauty,היופי,красота,beauté
الحمراء,Red,אָדוֹם,Красный,Rouge
يَكُونَ,He is,יהיה,Он,Il est
إسمي,my name,שמי,мое имя,mon nom
ضخم,huge,ענק,огромный,Gros
إجراء,Procedure,תהליך,Процедура,Procédure
تلكَ,That,זֶה,Что,Ce
مناسبة,suitable,מַתְאִים,подходящий,adapté
مستشفى,hospital,בית חולים,больница,hôpital
الفراش,Bedding,מצעים,Постельные принадлежности,Literie
ايام,days,ימים,дни,jours
العاشرة,tenth,עֲשִׂירִית,десятый,dixième
عنده,Has,יש ל,Имеет,A
إتصل,Call,שִׂיחָה,Вызов,Appel
إي,any,איזה,любой,n'importe quel
القواعد,the rules,הכללים,правила,les règles
الغضب,Anger,כַּעַס,Злость,Colère
الشكر,Thanks,תודה,Спасибо,Merci
أنّنا,We are,אנחנו,Мы,Nous sommes
معقول,reasonable,סביר,разумный,raisonnable
الخبر,the news,החדשות,Новости,les nouvelles
انتى,female,את,женский,femme
شخصٌ,person,אדם,человек,personne
فخور,proud,גאה,гордый,fier
أحبها,Love her,אוהב אותה,Любить ее,Aime la
فلنذهب,let's go,בוא נלך,пойдем,allons-y
أمامي,In front of me,מולי,Передо мной,Devant moi
الاولى,The first,הראשון,Первый,La première
يعتبر,It is considered,זה נחשב,Считается,C'est considéré
أمامك,Before you,לפני שאתה,До тебя,Avant toi
إس,S,ג,С,S
الرسائل,Messages,הודעות,Сообщения,messages
تعاني,Suffer,סובל,Страдать,Souffrir
ابق,Stay,שָׁהוּת,Оставаться,Rester
دفعت,Paid,שולם,Оплаченный,Payé
خدعة,Trick,טריק,Обманывать,Astuce
نقاط,points,נקודות,точки,points
التاسعة,Ninth,ט,Девятый,Neuvième
الألعاب,the games,המשחקים,игры,les jeux
ألعب,I play,אני משחק,Я играю,je joue
شخصي,Personal,אישי,Личный,Personnel
ميتاً,Dead,מֵת,Мертвый,Mort
ترغبين,You want,אתה רוצה,Вы хотите,Tu veux
عمرها,Its life,אלה החיים,Это жизнь,C'est la vie
لأنكِ,because you are,בגלל שאתה,потому что вы,parce que vous êtes
مسرور,pleased,מְרוּצֶה,довольный,heureux
لقتل,To kill,להרוג,Убить,Tuer
الاثنان,The two,השניים,Два,Les deux
شخصياً,Personally,אישית,Лично,Personnellement
جادة,Avenue,שְׁדֵרָה,Проспект,Sérieuse
تستمر,Continuing,ממשיך,Продолжение,Continu
الوحدة,Unit,יחידה,Единица,Unité
إسمعي,Listen,להקשיב,Слушать,Écouter
البلد,Country,מדינה,Страна,Pays
نظرت,I looked,הסתכלתי,Я посмотрел,j'ai regardé
الجسم,the body,הגוף,тело,le corps
أصغر,Smaller,קטן יותר,Меньше,Plus petit
فيليب,Philip,פיליפ,Филипп,Philippe
أفعلها,I do it,אני עושה את זה,я делаю это,je le fais
لِمَ,did not,לא,не,n'a pas
للوصول,to reach,להגיע,достигать,atteindre
زاك,Zach,זאק,Зак,Zach
بوسعك,You can,אתה יכול,Ты можешь,Tu peux
يعنيه,Mean,מתכוון,Иметь в виду,Moyenne
تقبل,Accept,לְקַבֵּל,Принимать,Accepter
العم,uncle,דוֹד,дядя,oncle
انتظروا,Wait for,לחכות ל,Ждать,Attendre
هاك,take,לקחת,брать,prendre
اقل,less,פָּחוֹת,меньше,moins
ألقي,cast down,לזרוק,опускать,rejeter
يسمى,he is called,הוא נקרא,его зовут,S'appeler
الأطباء,the doctors,הרופאים,доктора,les médecins
الشقة,Flat,שָׁטוּחַ,Плоский,Plat
أُريدُ,I want,אני רוצה,Я хочу,Je veux
القمامة,Garbage,אַשׁפָּה,Мусор,Ordures
مرحلة,phase,שלב,фаза,phase
المسكين,Poor,עני,Бедный,Pauvre
مذهلة,Amazing,מדהים,Удивительный,Incroyable
اراك,See you,נתראה,Увидимся,À bientôt
السّيد,Mr,האדון,Мистер,M
الدجاج,Chicken,עוף,Курица,Poulet
فعلتِ,I did,אני עשיתי,Я сделал,Je l'ai fait
ظهرت,Appear,לְהוֹפִיעַ,Появляться,Apparaître
الخنزير,Pig,חֲזִיר,Свинья,Cochon
يعلمون,They know,הם יודעים,Они знают,Ils savent
كوب,cup,גָבִיעַ,чашка,tasse
العلم,Science,מדע,Наука,Science
خطأي,My fault,אשמתי,Моя вина,Ma faute
جانباً,Aside,בַּצַד,В стороне,De côté
تعملين,You are doing,אתה עושה,Ты делаешь,Tu es en train de faire
حياتى,my life,החיים שלי,моя жизнь,ma vie
ستيفن,Steven,סטיבן,Стивен,Steven
عقلي,My mind,מוחי,Мой разум,Mon esprit
سحب,to withdraw,משך,чтобы уйти,Se rétracter
احدهم,One of them,אחד מהם,Один из них,L'un d'eux
إرسال,send,לִשְׁלוֹחַ,отправлять,envoyer
ماركوس,Marcus,מרקוס,Маркус,Marcus
كيفن,Kevin,קווין,Кевин,Kevin
منطقي,Logical,הגיוני,Логичный,Logique
يالها,Oh her,אוי אותה,"О, она",Oh elle
الأمريكي,American,אֲמֶרִיקָאִי,Американец,Américain
الشعب,People,אֲנָשִׁים,Люди,Personnes
السباحة,Swimming,שחייה,Плавание,Natation
أسوء,Worse,רע יותר,Худший,Pire
ساعدوني,Help me,תעזור לי,Помоги мне,Aide-moi
صعوبة,difficulty,קושי,сложность,difficulté
العقل,Mind,אכפת,Разум,Esprit
وهكذا,And so on,וכולי,И так далее,Et ainsi de suite
سنرى,We'll see,נראה,Посмотрим,Nous verrons
اصدق,believe,לְהֶאֱמִין,полагать,croire
أخيرا,finally,סוף כל סוף,окончательно,enfin
ممتعة,Fun,כֵּיף,Веселье,Amusant
مررت,I passed,וויתרתי,Я прошел,j'ai réussi
القوانين,Laws,חוקים,Законы,Lois
البنك,the bank,הבנק,банк,la Banque
الخمر,Wine,יַיִן,Вино,Vin
تشرب,drink,לִשְׁתוֹת,напиток,boire
للعيش,for living,למחייה,для жизни,pour vivre
طبيعية,Natural,טִבעִי,Естественный,Naturel
المطار,the airport,שדה התעופה,аэропорт,l'aéroport
الرائعة,Gorgeous,מאוד יפה,Великолепный,Magnifique
لصالح,Favor,טוֹבָה,Услуга,Service
الإثنان,The two,השניים,Два,Les deux
طبعا,naturally,בטח,естественно,naturellement
مولي,sire,לְהוֹלִיד,сир,sire
السفلي,Lower,נמוך יותר,Ниже,Inférieur
اسرع,faster,יותר מהר,Быстрее,plus rapide
رسائل,Messages,הודעות,Сообщения,messages
تتوقع,Expected,צָפוּי,Ожидал,Attendu
علـى,On,עַל,На,Sur
فرانكي,Franki,פרנקי,Франки,Franki
الطيور,the birds,הציפורים,птицы,Les oiseaux
تأكد,Make sure,לוודא,Убеждаться,S'assurer
لأجلي,for me,בשבילי,для меня,pour moi
كاري,curry,קָארִי,карри,curry
المرض,the disease,המחלה,болезнь,la maladie
مخيف,scary,מַפְחִיד,страшный,effrayant
الموعد,The appointment,הפגישה,Назначение,Le rendez-vous
السنين,Years,שנים,Годы,Années
الحادث,the incident,התקרית,Инцидент,L'incident
حمام,bathroom,חדר אמבטיה,ванная комната,salle de bains
للمرة,For,ל,Для,Pour
ليزا,Lisa,ליסה,Лиза,Lisa
عودي,Reciprocal,הֲדָדִי,Взаимный,Réciproque
سن,age,גיל,возраст,âge
كايت,Kate,קייט,Катя,Kate
هوية,identification,זיהוי,идентификация,identification
باري,Wary,זָהִיר,Настороженно,Méfiant
الطبيعة,nature,טֶבַע,природа,nature
أَستطيعُ,I can,אני יכול,Я могу,Je peux
ولدت,I was born,נולדתי,я был рожден,je suis né
أنواع,Species,מִין,Разновидность,le genre
شيءٌ,something,דבר,что-нибудь,quelque chose
مفتوح,open,לִפְתוֹחַ,открыть,ouvrir
تنام,Sleep,לִישׁוֹן,Спать,Dormir
تمهل,Slown down,האט,"Замедлиться, Замедляться",ralenti
تدرك,You realize,אתה מבין,Ты осознаешь,Tu réalises
أوراق,Leaves,משאיר,Листья,Des feuilles
اية,any,פסוק בקוראן,любой,n'importe quel
ريبيكا,Rebecca,רבקה,Ребекка,Rebecca
مشاعر,feelings,רגשות,чувства,sentiments
المرضى,The patients,המטופלים,Пациенты,Les patients
وكأن,As if,כאילו,Будто,Comme si
وحدي,Alone,לבד,Один,Seul
ستفعلين,You will do,אתה תעשה,Вы будете делать,Vous ferez
قابل,Met,נפגש,Встретил,Rencontré
رفع,to lift,להרים,поднимать,soulever
بوقت,At the time,בזמן,В то время,À l'époque
المحاولة,Attempt,לְנַסוֹת,Пытаться,Tentative
أحمر,red,אָדוֹם,красный,rouge
خطيرة,Dangerous,מְסוּכָּן,Опасный,Dangereux
الرئيسية,Main,רָאשִׁי,Основной,Principal
الكعك,Cakes,עוגות,Торты,Gâteaux
وها,And here,והנה,И здесь,Et ici
سأحصل,I will get,אני אקבל,я получу,j'aurai
اكبر,Larger,יותר גדול,Более крупный,Plus grand
حسناَ,Good,בסדר,Хороший,Bien
ستحصل,You will get,אתה תקבל,Ты получишь,Tu auras
بعدم,Not,לֹא,Нет,Pas
الأرواح,Souls,נשמות,Души,Âme
أنجلوس,Angeles,אנג'לס,Анджелес,Angeles
اطلاق,release,לְשַׁחְרֵר,выпускать,libérer
جرائم,crimes,פשעים,преступления,crimes
سهلاً,Easy,קַל,Легкий,Facile
لسوء,Badly,רע,Плохо,Méchanceté
ليلتك,Your night,הלילה שלך,Твоя ночь,Ta nuit
رفيق,Companion,בן לוויה,Товарищ,Compagnon
لاحق,Later,יותר מאוחר,Позже,Plus tard
شريك,a partner,שותף,партнер,un partenaire
العقيد,Colonel,אלוף משנה,Полковник,Colonel
المحطة,Station,תַחֲנָה,Станция,Gare
أشك,I suspect,אני חושד,Я подозреваю,Je soupçonne
كأس,cup,גָבִיעַ,чашка,tasse
نتائج,results,תוצאות,Результаты,résultats
المرات,Times,פִּי,Раз,Fois
أب,dad,אב,папа,Pére
مفتوحة,Open,לִפְתוֹחַ,Открыть,Ouvrir
بعضاً,Some,כמה,Некоторый,Quelques
الحائط,the wall,הקיר,стена,le mur
المشي,Walking,הליכה,Гулять пешком,Marche
شعرك,Your hair,השיער שלך,Твои волосы,Tes cheveux
الصغار,Young,צָעִיר,Молодой,Jeune
عديدة,many,רב,много,beaucoup
فينس,Vince,וינס,Винс,Vince
أخبرها,tell her,תגיד לה,скажи ей,dis-lui
العين,Eye,עַיִן,Глаз,Œil
جمع,plural,רַבִּים,множественное число,pluriel
أكتب,Write,לִכתוֹב,Писать,Écrire
لاعب,Player,שחקן,Игрок,Joueur
فقدان,Loss,הֶפסֵד,Потеря,Perte
سرعة,Speed,מהירות,Скорость,Vitesse
انتهينا,We finished,סיימנו,Мы закончили,Nous avons terminé
للأسفل,Below,לְהַלָן,Ниже,Dessous
تايلر,Tyler,טיילר,Тайлер,Tyler
ماريا,Maria,מריה,Мария,Maria
جيس,Jis,JIS,Джис,Jis
يستغرق,It takes,זה לוקח,Занимает,Ça prend
لنبدأ,Let's Begin,בואו נתחיל,Давай начнем,Commençons
إهدأ,just chill,פשוט תרגע,просто остынь,calme toi
يتطلب,Requires,דורש,Требует,A besoin
حسنـاً,Well,נו,Хорошо,Bien
الخطر,Risk,לְהִסְתָכֵּן,Риск,Risque
سميث,Smith,נַפָּח,Смит,Forgeron
خطط,Plan,לְתַכְנֵן,План,Plan
استعداد,ready,מוּכָן,готовый,prêt
جعلتني,Make me,תכריח אותי,Заставь меня,Faîtes-moi
هارفي,Harvey,הארווי,Харви,Harvey
تصرف,behavior,התנהגות,поведение,comportement
سنين,Years,שנים,Годы,Années
إيما,whatever,מה שתגיד,что бы ни,peu importe
أقترح,suggest,לְהַצִיעַ,предлагать,propose
نساء,women,נשים,женщины,femmes
كـان,It was,זה היה,Это было,C'était
يكذب,He lies,הוא משקר,Он лжет,Il ment
اختفى,disappear,לְהֵעָלֵם,пропадать,disparaître
الأحد,Sunday,יוֹם רִאשׁוֹן,Воскресенье,Dimanche
جوليا,Julia,ג'וליה,Юлия,Julia
طفلي,My baby,התינוק שלי,Мой ребенок,Mon bébé
لمساعدتك,To help you,לעזור לך,Чтобы помочь вам,Pour vous aider
تايلور,Taylor,טיילור,Тейлор,Taylor
دولارات,Dollars,דולרים,Доллары,Dollar
للخلف,backwards,אֲחוֹרָה,назад,en arrière
الموتى,Dead,מֵת,Мертвый,Mort
فرق,difference,הֶבדֵל,разница,différence
أظنني,I think,אני חושב,Я думаю,Je pense
صعباً,Difficulty,קושי,Сложность,Difficulté
لمكان,Place,מקום,Место,Lieu
يحبون,They love,הם אוהבים,Они любят,Ils aiment
وايت,White,לבן,Белый,Blanc
الشر,Evil,רוע,Зло,Mal
سآتي,I will come,אני אבוא,я приеду,je vais venir
يقوله,He says,הוא אומר,Он говорит,Il dit
نائب,Deputy,סְגָן,Депутат,Adjoint
أسبوعين,Two weeks,שבועיים,Две недели,Deux semaines
تقود,Lead,עוֹפֶרֶת,Вести,Mener
تيري,Terry,אֲרִיג מַגָבוֹת,Терри,Gâchis
افعلها,Do it,תעשה את זה,Сделай это,Fais-le
هومر,Homer,הומר,Гомер,Homère
بوضوح,clearly,בְּבִירוּר,четко,clairement
ترحل,Go,ללכת,Идти,Aller
بَعْض,some,כמה,некоторый,quelques
تدعى,Involve,כרוך,Вовлекать,Impliquer
الاشخاص,People,אֲנָשִׁים,Люди,Personnes
لازال,Still,עוֹד,Все еще,Toujours
سمعته,I heard it,שמעתי את זה,Я слышал это,je l'ai entendu
والدها,her dad,אבא שלה,ее отец,son père
ديريك,Derek,דרק,Дерек,Derek
الضحايا,Victims,קורבנות,Жертвы,Victimes
شاذ,anomaly,אֲנוֹמַלִיָה,аномалия,anomalie
وهنا,Here,כאן,Здесь,Ici
التوقيت,Timing,תִזמוּן,Время,Horaire
سأتولى,I will take over,אני אשתלט,Я возьму на себя,Je vais prendre le relais
اللوحة,Board,גלשן,Доска,Conseil
كافي,Enough,מספיק,Достаточно,Assez
علامات,Signs,שלטים,Знаки,Panneaux
تمر,Pass,לַעֲבוֹר,Проходить,Passer
الحمقى,Foolish,טִפּשִׁי,Глупый,Idiot
مرت,Pass,לַעֲבוֹר,Проходить,Passer
شريط,tape,סרט הדבקה,лента,enregistrer
سلسلة,series,סִדרָה,ряд,série
تعلمي,Learning,לְמִידָה,Обучение,Apprentissage
بالذنب,Guilty,אָשֵׁם,Виновный,Coupable
عنى,About Me,עליי,Обо мне,Sur moi
حديقة,garden,גן,сад,jardin
الأحداث,Events,אירועים,События,Événements
تيم,Tim,טים,Тим,Tim
هيلين,Helen,הלן,Хелен,Helen
مكتوب,written,כתוב,написано,écrit
زعيم,Leader,מַנהִיג,Лидер,Chef
حية,Alive,בחיים,Живой,Vivant
تقم,Take up,קח,Занимать,Prendre
يبحثون,They are looking,הם מסתכלים,Они смотрят,Ils regardent
ولكنى,But,אבל,Но,Mais
سوداء,Black,שָׁחוֹר,Черный,Noir
تقومي,Converge,לְהִתְכַּנֵס,Сходиться,Converger
تعنيه,It means,זה אומר,Это значит,Ça veut dire
النفس,self,עצמי,себя,soi
ظٹ,Food,מזון,Еда,Nourriture
هلاّ,Do,לַעֲשׂוֹת,Делать,Faire
لقاء,Meeting,פְּגִישָׁה,Встреча,Réunion
استيقظ,I wake up,אני מתעורר,Я просыпаюсь,je me réveille
انكِ,You,אתה,Ты,Toi
الرائحة,Odor,רֵיחַ,Запах,Odeur
طيبة,Kind,סוג,Добрый,Type
رصاصة,bullet,כַּדוּר,пуля,balle
تصوير,filming,צילום,съемки фильма,tournage
قبلة,Kiss,נשיקה,Целовать,Baiser
ّ,A,א,А,UN
باركر,Parker,פארקר,Паркер,Parker
أوليفر,Oliver,אוליבר,Оливер,Oliver
لـم,No,לא,Нет,Non
الكلية,the college,המכללה,колледж,le collège
لأنّه,Because he,בגלל שהוא,Потому что он,Parce qu'il
عشرون,twenty,עשרים,двадцать,vingt
كارول,Carroll,קרול,Кэрролл,Carroll
لورا,Lura,לורה,Лура,Lura
الشرف,Honour,כָּבוֹד,Честь,Honneur
.أنا,.I,.אני,.Я,.JE
نبقى,we stay,אנחנו נשארים,мы остаемся,nous restons
خاطئة,FALSE,שֶׁקֶר,ЛОЖЬ,FAUX
لأرى,To see,לראות,Чтобы увидеть,Voir
معرفته,His knowledge,הידע שלו,Его знание,Sa connaissance
الوقوف,stand up,תעמוד,вставать,se lever
النقطة,the point,הנקודה,смысл,le point
الفرقة,the band,הלהקה,группа,Le groupe
بحقّ,Truly,בֶּאֱמֶת,Действительно,Vraiment
ستبقى,You will stay,אתה תשאר,Ты останешься,Tu resteras
الطقس,the weather,מזג האוויר,погода,la météo
ورقة,paper,דף,бумага,papier
حبي,my love,אהובי,моя любовь,mon amour
التأكد,making sure,מוודא,убедиться,s'assurer
ظننتُ,I thought,חשבתי,я думал,Je pensais
منزله,his house,הבית שלו,его дом,sa maison
تكلم,to talk,לדבר,чтобы поговорить,parler
قصير,short,קצר,короткий,court
المبلغ,the amount,הסכום,количество,la quantité
مائة,a hundred,מאה,сотня,cent
رؤيتها,Seeing it,לראות את זה,Видя это,Voir
الكبرى,Major,גדול,Главный,Majeur
مفقود,Missing,חָסֵר,Отсутствующий,Manquant
تحاولين,You are trying,אתה מנסה,Вы пытаетесь,Vous essayez
آثار,antiquities,עַתִיקוֹת,древности,antiquités
سيدتى,my lady,גבירתי,Моя леди,ma dame
كأن,He was,היה,Он был,Il était
قاعة,Hall,אולם,Зал,Entrée
تفعلها,Do it,תעשה את זה,Сделай это,Fais-le
ملابسي,Mysterious,מסתורי,Загадочный,Mystérieux
المقبل,Next,הַבָּא,Следующий,Suivant
الطبيعي,Normal,נוֹרמָלִי,Нормальный,Normal
انهض,stand up,תעמוד,вставать,se lever
الأبواب,the doors,הדלתות,двери,les portes
زوي,Decay,ריקבון,Разлагаться,Carie
يعاني,He suffers,הוא סובל,Он страдает,Il souffre
نلعب,We play,אנחנו משחקים,Мы играем,Nous jouons
يتغير,Changing,מִשְׁתַנֶה,Изменение,En changeant
ليسا,Lisa,ליסה,Лиза,Lisa
ضعيف,weak,חלש,слабый,faible
أريدكِ,I want you,אני רוצה אותך,Я хочу тебя,Je te veux
الولاية,the state,המדינה,штат,l'état
اولا,Firstly,קוֹדֶם כֹּל,Во-первых,d'abord
شين,Shin,שׁוּקָה,Голени,Tibia
بالذهاب,By going,על ידי מעבר,Уходим,En allant
وبعض,And some,וכמה,И немного,Et certaines
سيذهب,He will go,הוא ילך,Он пойдет,Il ira
صديقى,my friend,חבר שלי,мой друг,mon ami
بأيّ,With any,עם כל,С любого,Avec n'importe quel
لأنّي,because I am,כי אני,потому что я,parce que je suis
وسيم,Handsome,יפה תואר,Красивый,Beau
نضع,we put,אנחנו שמים,мы поместили,nous mettons
مسموح,Permissible,מוּתָר,Допустимо,Permis
لورين,Lauren,לורן,Лорен,Lauren
مميز,distinct,מוּבהָק,отчетливый,distinct
كلياً,entirely,לַחֲלוּטִין,полностью,entièrement
عثرت,I found,מצאתי,я нашел,j'ai trouvé
تشبه,Like,כמו,Нравиться,Comme
يأتون,They come,הם באים,Они приходят,Ils viennent
الشجرة,the tree,העץ,дерево,l'arbre
أجـل,Release,לְשַׁחְרֵר,Выпускать,Libérer
الحصان,the horse,הסוס,лошадь,le cheval
أفراد,Individuals,אנשים,Отдельные лица,Personnes
الوقود,Fuel,דלק,Топливо,Carburant
هاى,Hi,היי,Привет,Salut
لايمكنني,I can not,אני לא יכול,Я не могу,Je ne peux pas
مقدار,amount,כמות,количество,montant
الصين,China,סין,Китай,Chine
اليها,to her,לה,ей,à elle
إيدي,Hands,ידיים,Руки,Mains
تستطع,You can,אתה יכול,Ты можешь,Tu peux
مبنى,building,בניין,здание,bâtiment
دوري,Cyclic,מַחזוֹרִי,Циклический,Cyclique
اختيار,to choose,בחירה,выбирать,choisir
أغادر,Go out,צא החוצה,Выходить,Sortir
أراها,see her,לראות אותה,увидеть ее,la voir
سيحصل,It will happen,זה יקרה,Это произойдет,Cela va arriver
المطر,the rain,הגשם,дождь,la pluie
قدمت,Submitted,הוגש,Поданный,Soumis
حوله,Transf,Transf,Трансф,Transf
بوسعنا,We can,אנחנו יכולים,Мы можем,Nous pouvons
طويلا,long,ארוך,длинный,long
تكونوا,You are,אתה,Ты,Tu es
جميلاً,beautiful,יפה,красивый,beau
جد,grandfather,סָבָּא,Дед,grand-père
وحدك,Alone,לבדך,Один,Seul
جيش,army,צבא,армия,armée
لعدم,To not,לא,Чтобы нет,Ne pas
الخيار,Option,אוֹפְּצִיָה,Вариант,Option
مؤخرة,Rear,חלק אחורי,Задний,Arrière
اللطيف,Cute,חָמוּד,Милый,Mignon
متأكّد,sure,בטוח,конечно,bien sûr
رائعه,amazing,מדהים,удивительный,incroyable
الحريق,Fire,אֵשׁ,Огонь,Feu
سمعتُ,I heard,שמעתי,Я слышал,J'ai entendu
السر,the secret,הסוד,секрет,le secret
كوبر,Cooper,קופר,Купер,Tonnelier
الاستماع,Listen,להקשיב,Слушать,Écouter
ماتوا,They died,הם מתו,Они умерли,Ils sont morts
بارت,Bart,בארט,Барт,Barbe
جولي,Jolly,עַלִיז,Веселый,Gai
صالح,righteous,צַדִיק,праведник,vertueux
بالحديث,By talking,בדיבורים,Говоря,Oralement
هلّا,Do,לַעֲשׂוֹת,Делать,Faire
حولك,Around,סְבִיב,Вокруг,Autour
سلام,Hello,שלום,Привет,Bonjour
وأريد,and I want,ואני רוצה,и я хочу,et je veux
العليا,Supreme,עֶלִיוֹן,Верховный,Suprême
المجنون,the crazy,המשוגע,Сумасшедший,le fou
الجرائم,Crime,פֶּשַׁע,Преступление,Crime
خاصتي,of mine,משלי,мой,à moi
أمامنا,Before us,לפנינו,Перед нами,Avant nous
قارب,boat,סירה,лодка,bateau
المناسبة,Occasion,הִזדַמְנוּת,Повод,Occasion
المسافة,distance,מֶרְחָק,расстояние,distance
الجثث,Bodies,גופות,Тела,Corps
جاكي,Jackie,ג'קי,Джеки,Jackie
الرياح,Wind,רוּחַ,Ветер,Vent
بشئ,With something,עם משהו,С чем-то,Avec quelque chose
الأميرة,the princess,הנסיכה,принцесса,la princesse
عامل,Factor,גורם,Фактор,Facteur
اتيت,Come,לבוא,Приходить,Venir
القصص,Stories,סיפורים,Истории,Histoires
صحيحة,correct,נכון,правильный,correct
ديك,rooster,תרנגול,петух,coq
ننظر,Look,תראה,Смотреть,Regarder
المخابرات,Intelligence,אינטליגנציה,Интеллект,Intelligence
تفكرين,You think,אתה חושב,Вы думаете,Tu penses
جنوب,south,דרום,юг,Sud
متأكداً,Insignificant,לֹא מַשְׁמָעוּתִי,Незначительный,Insignifiant
دونا,Without a,בלי א,Без,Sans un
فشلت,Failed,נִכשָׁל,Неуспешный,Échoué
كيفين,Kevin,קווין,Кевин,Kevin
يقل,Decrease,לְהַקְטִין,Снижаться,Diminuer
التحرك,Move,מהלך \ לזוז \ לעבור,Двигаться,Déplacer
البطل,Hero,גיבור,Герой,héros
زواج,marriage,נישואים,свадьба,mariage
إلّا,unless,אֶלָא אִם,пока не,sauf si
سنعود,We will return,אנחנו נשוב,Мы вернемся,Nous reviendrons
مشروب,Drink,לִשְׁתוֹת,Напиток,Boire
الجدار,Wall,קִיר,Стена,Mur
نيكي,Nikki,ניקי,Никки,Nikki
أخبرنا,Tell us,תגיד לנו,Расскажи нам,Dites-nous
أستمع,I listen,אני מקשיב,я слушаю,j'écoute
بوضع,In place,במקום,На месте,En place
للعودة,To return,לחזור,Вернуться,Rendre
الزهور,The flowers,הפרחים,Цветы,Les fleurs
مسافة,distance,מרחק,расстояние,distance
اطلب,I request,אני מבקש,Прошу,Je demande
الكهرباء,electricity,חַשְׁמַל,электричество,électricité
جندي,soldier,לוֹחֶם,солдат,soldat
فعلوا,They did,הם עשו,Они сделали,Ils ont fait
قتلته,I kill him,אני הורג אותו,Я убью его,Je le tue
الإثنين,Monday,שני,Понедельник,Lundi
يريده,He wants it,הוא רוצה את זה,Он этого хочет,Il le veut
الأحوال,Conditions,תנאים,Условия,Conditions
الطب,Medicine,תרופה,Лекарство,Médecine
لذيذ,Tasty,טָעִים,Вкусный,Savoureux
الجسر,the bridge,הגשר,мост,le pont
العمدة,Mayor,ראש העיר,Мэр,Maire
الشجاعة,Courage,אומץ,Храбрость,Courage
أبوس,Abous,אבן,Або,Abous
ستموت,you will die,אתה תמות,ты умрешь,tu vas mourir
قانوني,legal,משפטי,юридический,juridique
الملفات,Files,קבצים,Файлы,Des dossiers
ببطء,slowly,לאט,медленно,lentement
وكأنها,As if,כאילו,Будто,Comme si
سأخرج,I will get out,אני אצא,Я выйду,Je vais sortir
سررت,I was pleased,הייתי מרוצה,я был рад,j'étais heureux
توفي,Died,נפטר,Умер,Décédé
الشيئ,Something,משהו,Что-нибудь,Quelque chose
تمام,OK,בסדר,ХОРОШО,D'ACCORD
رفض,to reject,לדחות,отказаться,rejeter
ملف,file,תיק,файл,dossier
وغد,scoundrel,נָבָל,График,scélérat
كوكب,planet,כוכב לכת,планета,planète
ضخمة,Huge,עָצוּם,Огромный,Énorme
الوداع,Goodbye,להתראות,До свидания,Au revoir
يجد,Find,למצוא,Находить,Trouver
تغيرت,Change,שינוי,Изменять,Changement
تشير,Indicate,מצביע,Указывать,Indiquer
كعكة,Cake,עוגה,Торт,Gâteau
خبر,news,חֲדָשׁוֹת,Новости,nouvelles
بعضها,Some of them,כמה מהם,Некоторые из них,Certains d'entre eux
بلقائك,By meeting you,על ידי לפגוש אותך,Встретившись с вами,En vous rencontrant
سهلة,Easy,קַל,Легкий,Facile
دعوة,invitation,הַזמָנָה,приглашение,invitation
مكاني,my place,המקום שלי,мое место,ma place
ويليام,William,ויליאם,Уильям,William
يقع,Located,ממוקם,Располагается,Situé
خلفك,Behind you,מאחוריך,За тобой,Derrière toi
مرحى,Hurrah,הידד,Ура,Hourra
تنجح,Scatter,לְפַזֵר,Рассеянный,Dispersion
لَرُبَّمَا,Perhaps,אוּלַי,Возможно,Peut-être
عودة,back,חזרה,назад,dos
سنتين,Two years,שנתיים,Два года,Deux ans
أظنّ,I suspect,אני חושב,Я подозреваю,Je soupçonne
الفائدة,Benefit,תועלת,Выгода,Avantage
متزوج,married,נָשׂוּי,женатый,marié
بصوت,Voice,קוֹל,Голос,Voix
حجم,size,גודל,размер,taille
نظرية,theory,תֵאוֹרִיָה,теория,théorie
أسماء,names,שמות,имена,des noms
فيديو,video,וִידֵאוֹ,видео,vidéo
مارتي,Marti,מרטי,Марти,Marti
القدرة,Ability,יְכוֹלֶת,Способность,Capacité
المتعة,joy,שִׂמְחָה,радость,joie
أغلب,most,רוב,большинство,la plupart
